variant,repetition,class_index,quintile,average_precision
0000,4,218.0,3,0.3179478846573266
0000,4,219.0,3,0.2982880034176223
0000,4,263.0,2,0.0888941404765912
0000,4,326.0,4,0.2652369561088671
0000,4,335.0,3,0.3969519148196744
0000,4,340.0,4,0.420817077238294
0000,4,357.0,1,0.4093769595136919
0000,4,372.0,4,0.8863670707046081
0000,4,387.0,2,0.3053403788971902
0000,4,394.0,4,0.879830301043169
0000,4,447.0,4,0.8452564616223734
0000,4,461.0,2,0.7202684283103941
0000,4,490.0,1,0.8939759927368699
0000,4,493.0,3,0.6989403404373137
0004,0,24.0,1,0.20969722812949626
0004,0,36.0,2,0.5814001494064543
0004,0,57.0,1,0.19814905370880134
0004,0,82.0,4,0.33434403912560645
0004,0,105.0,1,0.41749386215075346
0004,0,106.0,1,0.31194058179055406
0004,0,124.0,4,0.49469565925475156
0004,0,126.0,0,0.336851882479324
0004,0,130.0,4,0.8676744535387064
0004,0,135.0,4,0.9743514871621259
0004,0,142.0,4,0.9661559155083674
0004,0,173.0,4,0.8119670176948282
0004,0,175.0,3,0.24331296029261437
0004,0,177.0,0,0.25652414115699956
0004,0,179.0,0,0.0003983685164610257
0004,0,187.0,0,0.7503228931223765
0004,0,214.0,4,0.9745423269307922
0004,0,218.0,3,0.24368458011046523
0004,0,219.0,3,0.2363946595842905
0004,0,263.0,2,0.1344735521556883
0004,0,326.0,4,0.24726462910807162
0004,0,335.0,3,0.24279456470945068
0004,0,340.0,4,0.40111523271177885
0004,0,357.0,1,0.48503104711877887
0004,0,372.0,4,0.3159019390423089
0004,0,387.0,2,0.6858323225642963
0004,0,394.0,4,0.33576664781578053
0004,0,447.0,4,0.3921576948301587
0004,0,461.0,2,0.5902092430083175
0004,0,490.0,1,0.7702680092078225
0004,0,493.0,3,0.6945362116648263
0004,1,24.0,1,0.12770639143676216
0004,1,36.0,2,0.5797040797181909
0004,1,57.0,1,0.18661733785088272
0004,1,82.0,4,0.3399382838530532
0004,1,105.0,1,0.4668077763784872
0004,1,106.0,1,0.31095279365191136
0004,1,124.0,4,0.4013535266689202
0004,1,126.0,0,0.5966713203708972
0004,1,130.0,4,0.7193488323124304
0004,1,135.0,4,0.6794449777642544
0004,1,142.0,4,0.9571782101019127
0004,1,173.0,4,0.49039153042498174
0004,1,175.0,3,0.2519997247633434
0004,1,177.0,0,0.4215800650644517
0004,1,179.0,0,0.0004037080109639856
0004,1,187.0,0,0.41475084607305407
0004,1,214.0,4,0.7736144091209431
0004,1,218.0,3,0.25228867555770107
0004,1,219.0,3,0.24516185139582838
0004,1,263.0,2,0.1035350950599219
0004,1,326.0,4,0.26051951373534654
0004,1,335.0,3,0.2517320706353399
0004,1,340.0,4,0.3124363493335347
0004,1,357.0,1,0.4567217201646049
0004,1,372.0,4,0.2735374062470424
0004,1,387.0,2,0.5380102569662548
0004,1,394.0,4,0.29028197069439565
0004,1,447.0,4,0.29551756353457054
0004,1,461.0,2,0.6054414971025333
0004,1,490.0,1,0.7658940030370549
0004,1,493.0,3,0.7500058098852544
0004,2,24.0,1,0.2717264552368632
0004,2,36.0,2,0.6606846534689882
0004,2,57.0,1,0.206555484387076
0004,2,82.0,4,0.338961890233758
0004,2,105.0,1,0.5825178063940722
0004,2,106.0,1,0.3107351634725233
0004,2,124.0,4,0.3788780674101962
0004,2,126.0,0,0.8038701771228723
0004,2,130.0,4,0.9784191234333429
0004,2,135.0,4,0.9230266766819373
0004,2,142.0,4,0.9701996882890092
0004,2,173.0,4,0.5072200326361348
0004,2,175.0,3,0.23933629404508996
0004,2,177.0,0,0.33956097163396903
0004,2,179.0,0,0.0004682514879806782
